travel_id,travel_dt,Start_latitude,Start_longitude,End_latitude,End_longitude,travel_distance
722887-202601-6-10988122-253064-20260115,1/15/2026,34.0761531,-84.6531546,31.237817,-88.9183276,402.31
722887-202601-6-10996517-249742-20260115,1/15/2026,34.8364449,-82.41206455,33.72787284,-84.93896368,177.65
722887-202601-6-10997371-222042-20260115,1/15/2026,32.6362202,-85.4083019,36.3371852,-79.6235072,457.64
722887-202601-6-10997371-254514-20260115,1/15/2026,32.6362226,-85.4083519,34.8299841,-82.3472768,251.77
722887-202601-6-10997371-254514-20260115,1/15/2026,34.8297629,-82.3460544,36.0863788,-79.6604875,194.4
722887-202601-6-11265346-179978-20260118,1/18/2026,39.9082598,-86.0789311,42.3266512,-83.3050474,271.62
722887-202601-6-11265346-246824-20260118,1/18/2026,39.908039,-86.0784912,40.0175472,-81.5603076,261.29
722887-202601-6-11281910-254198-20260116,1/16/2026,38.91050208,-104.8161654,38.08430784,-103.5664185,110.88
722887-202602-6-10987902-249312-20260121,1/21/2026,32.80249042,-79.89311325,38.75402587,-76.82413395,544.18
722887-202602-6-10987902-252970-20260120,1/20/2026,32.8020623,-79.89332927,34.97837435,-80.99820059,190.16
722887-202602-6-10987902-253504-20260122,1/22/2026,32.80355647,-79.89169307,33.79232992,-84.00905889,287.04
722887-202602-6-10987924-229785-20260122,1/22/2026,32.80234918,-79.89355426,38.10010174,-84.48195484,544.77
722887-202602-6-10987924-238050-20260121,1/21/2026,32.7978404,-79.8968572,32.9537061,-80.1651164,24.93
722887-202602-6-10987924-238050-20260121,1/21/2026,32.9536906,-80.1639644,32.8026116,-79.8929528,24.58
722887-202602-6-10987924-238050-20260121,1/21/2026,32.8025051,-79.8930174,33.5606149,-83.4787346,243.16
722887-202602-6-10987924-238050-20260122,1/22/2026,34.1381242,-84.7369779,35.0311936,-85.311553,78.27
722887-202602-6-10987924-238050-20260122,1/22/2026,35.0309321,-85.3117808,36.0416103,-89.4092803,300.08
722887-202602-6-10987924-248888-20260122,1/22/2026,32.7973897,-79.8973162,33.6137717,-85.8069083,384.75
722887-202602-6-10987924-248888-20260123,1/23/2026,33.4855453,-86.8257486,35.8390811,-95.3861981,604.13
722887-202602-6-10987924-256715-20260122,1/22/2026,32.82294351,-79.95333177,35.90838864,-84.87529946,426.75
722887-202602-6-10987924-256715-20260122,1/22/2026,35.90829275,-84.87522569,37.09483942,-93.80866207,574.94
722887-202602-6-10987924-256715-20260122,1/22/2026,37.07693725,-94.04579342,37.13851393,-94.4761868,28.84
722887-202602-6-10988010-241843-20260121,1/21/2026,34.21155696,-82.17483954,34.15414514,-82.13878274,6.78
722887-202602-6-10988010-241843-20260121,1/21/2026,34.17089067,-82.14374116,34.21152983,-82.17502921,3.66
722887-202602-6-10988010-254978-20260121,1/21/2026,34.21210605,-82.17490844,34.15405491,-82.13865594,6.87
722887-202602-6-10988010-254978-20260121,1/21/2026,34.15433445,-82.13861009,30.76411589,-89.85249453,607.59
722887-202602-6-10988010-255198-20260119,1/19/2026,34.030875,-81.10213165,34.70729949,-82.24372202,82.55
722887-202602-6-10988010-255198-20260120,1/20/2026,34.69080415,-82.22244943,34.1538795,-82.13869256,44.93
722887-202602-6-10988010-255198-20260120,1/20/2026,34.15369382,-82.13885015,34.7077238,-82.24351553,47.77
722887-202602-6-10988010-255198-20260121,1/21/2026,34.70733983,-82.24382096,34.15372677,-82.13860045,46.89
722887-202602-6-10988010-255198-20260121,1/21/2026,34.15415866,-82.13870975,34.70717593,-82.24406899,47.71
722887-202602-6-10988010-255198-20260121,1/21/2026,34.70712607,-82.24405314,35.68649693,-84.69857472,254
722887-202602-6-10988010-258721-20260121,1/21/2026,34.212023,-82.17477167,34.15384149,-82.13893938,6.86
722887-202602-6-10988010-258721-20260121,1/21/2026,34.15399125,-82.13872325,34.50140155,-81.75089836,38.93
722887-202602-6-10988010-258721-20260121,1/21/2026,34.50559244,-81.7455661,34.91816589,-81.00270672,57.03
722887-202602-6-10988053-187959-20260122,1/22/2026,33.5115899,-82.04065999,33.77209575,-81.9141856,25.12
722887-202602-6-10988053-187959-20260122,1/22/2026,33.77161494,-81.91377071,33.51422771,-82.05730462,25.51
722887-202602-6-10988053-187959-20260123,1/23/2026,29.93346694,-90.0078648,29.83592869,-95.64608777,373.2
