travel_id,job_no,wave_no,task_no,store_id,merch_no,rep_homestate,travel_dt,travel_distance,deduct_miles,actual_amount
722887-202601-6-10988020-254580-20260115,722887,202601,6,10988020,254580,GA,1/15/2026,120,0,36
722887-202601-6-10988122-253064-20260115,722887,202601,6,10988122,253064,MS,1/15/2026,381.49,20.82,114.45
722887-202601-6-10996517-249742-20260115,722887,202601,6,10996517,249742,MS,1/15/2026,436.35,0,130.91
722887-202601-6-10996517-249742-20260116,722887,202601,6,10996517,249742,MS,1/16/2026,140,0,42
722887-202601-6-10996980-251451-20260115,722887,202601,6,10996980,251451,MS,1/15/2026,280,0,84
722887-202601-6-10997371-222042-20260115,722887,202601,6,10997371,222042,NC,1/15/2026,457.64,0,137.29
722887-202601-6-10997371-254514-20260115,722887,202601,6,10997371,254514,NC,1/15/2026,446.17,0,133.85
722887-202601-6-11265346-179978-20260118,722887,202601,6,11265346,179978,MI,1/18/2026,263.22,8.4,78.97
722887-202601-6-11265346-246824-20260118,722887,202601,6,11265346,246824,OH,1/18/2026,252.86,8.43,75.86
722887-202601-6-11281910-254198-20260116,722887,202601,6,11281910,254198,CO,1/16/2026,80.88,0,24.26
722887-202602-6-10987902-249312-20260121,722887,202602,6,10987902,249312,MD,1/21/2026,514.18,30,154.25
722887-202602-6-10987902-252970-20260120,722887,202602,6,10987902,252970,SC,1/20/2026,160.16,30,48.05
722887-202602-6-10987902-253504-20260122,722887,202602,6,10987902,253504,MS,1/22/2026,276.26,10.78,82.88
722887-202602-6-10987924-214211-20260119,722887,202602,6,10987924,214211,AL,1/19/2026,30,0,9
722887-202602-6-10987924-214211-20260120,722887,202602,6,10987924,214211,AL,1/20/2026,30,0,9
722887-202602-6-10987924-229785-20260122,722887,202602,6,10987924,229785,IL,1/22/2026,539.59,5.18,161.88
722887-202602-6-10987924-229785-20260123,722887,202602,6,10987924,229785,IL,1/23/2026,404,0,121.2
722887-202602-6-10987924-238050-20260121,722887,202602,6,10987924,238050,TN,1/21/2026,213.16,79.51,63.95
722887-202602-6-10987924-238050-20260122,722887,202602,6,10987924,238050,TN,1/22/2026,378.35,0,113.51
722887-202602-6-10987924-248888-20260122,722887,202602,6,10987924,248888,MO,1/22/2026,375.04,9.71,112.51
722887-202602-6-10987924-248888-20260123,722887,202602,6,10987924,248888,MO,1/23/2026,604.13,0,181.24
722887-202602-6-10987924-256715-20260122,722887,202602,6,10987924,256715,MO,1/22/2026,1004.34,26.19,301.3
722887-202602-6-10988010-241843-20260121,722887,202602,6,10988010,241843,FL,1/21/2026,340,0,102
722887-202602-6-10988010-254978-20260121,722887,202602,6,10988010,254978,LA,1/21/2026,577.59,36.87,173.28
722887-202602-6-10988010-254978-20260122,722887,202602,6,10988010,254978,LA,1/22/2026,700,0,210
722887-202602-6-10988010-255198-20260119,722887,202602,6,10988010,255198,TN,1/19/2026,52.55,30,15.77
722887-202602-6-10988010-255198-20260120,722887,202602,6,10988010,255198,TN,1/20/2026,32.7,60,9.81
722887-202602-6-10988010-255198-20260121,722887,202602,6,10988010,255198,TN,1/21/2026,258.6,90,77.58
722887-202602-6-10988010-258721-20260121,722887,202602,6,10988010,258721,SC,1/21/2026,35.96,66.86,10.79
722887-202602-6-10988053-187959-20260122,722887,202602,6,10988053,187959,TX,1/22/2026,370,0,111
722887-202602-6-10988053-187959-20260123,722887,202602,6,10988053,187959,TX,1/23/2026,373.2,0,111.96
722887-202602-6-10988053-235526-20260122,722887,202602,6,10988053,235526,SC,1/22/2026,49.51,30,14.85
722887-202602-6-10988053-236086-20260122,722887,202602,6,10988053,236086,FL,1/22/2026,323.04,94.93,96.91
722887-202602-6-10988053-239440-20260122,722887,202602,6,10988053,239440,LA,1/22/2026,639.07,60,191.72
722887-202602-6-10988053-258692-20260122,722887,202602,6,10988053,258692,SC,1/22/2026,160.36,71.61,48.11
722887-202602-6-10996244-235667-20260123,722887,202602,6,10996244,235667,GA,1/23/2026,422.97,0,126.89
722887-202602-6-10996244-253743-20260121,722887,202602,6,10996244,253743,NC,1/21/2026,77.45,43.93,23.24
722887-202602-6-10996244-254914-20260121,722887,202602,6,10996244,254914,TN,1/21/2026,285.45,42.96,85.64
722887-202602-6-10996302-216748-20260122,722887,202602,6,10996302,216748,LA,1/22/2026,770,0,231
722887-202602-6-10996302-217044-20260122,722887,202602,6,10996302,217044,LA,1/22/2026,770,0,231
722887-202602-6-10996302-243463-20260122,722887,202602,6,10996302,243463,TN,1/22/2026,688.94,27.61,206.68
722887-202602-6-10996302-249260-20260122,722887,202602,6,10996302,249260,OK,1/22/2026,705.83,27.69,211.75
722887-202602-6-10996302-249260-20260123,722887,202602,6,10996302,249260,OK,1/23/2026,57.96,0,17.39
722887-202602-6-10996540-248460-20260121,722887,202602,6,10996540,248460,NY,1/21/2026,363,0,108.9
722887-202602-6-10996540-248460-20260122,722887,202602,6,10996540,248460,NY,1/22/2026,330,0,99
722887-202602-6-10996540-248517-20260121,722887,202602,6,10996540,248517,AR,1/21/2026,391.44,30,117.43
722887-202602-6-10996540-248517-20260122,722887,202602,6,10996540,248517,AR,1/22/2026,255,0,76.5
722887-202602-6-10996540-253592-20260121,722887,202602,6,10996540,253592,IL,1/21/2026,161.38,30,48.41
722887-202602-6-10996540-253592-20260122,722887,202602,6,10996540,253592,IL,1/22/2026,572.52,0,171.76
722887-202602-6-10996540-259167-20260121,722887,202602,6,10996540,259167,WV,1/21/2026,347.42,30,104.23
722887-202602-6-10996550-233546-20260122,722887,202602,6,10996550,233546,AL,1/22/2026,240,0,72
722887-202602-6-10996550-248627-20260122,722887,202602,6,10996550,248627,PA,1/22/2026,641.26,29.33,192.38
722887-202602-6-10996550-250259-20260122,722887,202602,6,10996550,250259,DE,1/22/2026,642.53,3.35,192.76
722887-202602-6-10996550-258709-20260121,722887,202602,6,10996550,258709,SC,1/21/2026,30,0,9
722887-202602-6-10996550-258709-20260122,722887,202602,6,10996550,258709,SC,1/22/2026,208.32,0,62.5
722887-202602-6-10996550-259249-20260120,722887,202602,6,10996550,259249,GA,1/20/2026,61.12,30,18.34
722887-202602-6-10996561-232147-20260123,722887,202602,6,10996561,232147,TN,1/23/2026,396.1,17.61,118.83
722887-202602-6-10996561-239541-20260122,722887,202602,6,10996561,239541,TX,1/22/2026,880,0,264
722887-202602-6-10996561-242309-20260123,722887,202602,6,10996561,242309,NC,1/23/2026,175.72,17.7,52.72
722887-202602-6-10996561-259020-20260122,722887,202602,6,10996561,259020,NC,1/22/2026,221.8,30,66.54
722887-202602-6-10996561-259314-20260122,722887,202602,6,10996561,259314,NC,1/22/2026,236.94,0,71.08
722887-202602-6-10996641-203622-20260122,722887,202602,6,10996641,203622,NC,1/22/2026,241.56,0,72.47
722887-202602-6-10996641-234511-20260122,722887,202602,6,10996641,234511,GA,1/22/2026,24.58,3.5,7.37
722887-202602-6-10996641-234786-20260122,722887,202602,6,10996641,234786,GA,1/22/2026,24.56,3.6,7.37
722887-202602-6-10996641-241674-20260122,722887,202602,6,10996641,241674,NC,1/22/2026,200,0,60
722887-202602-6-10996700-241462-20260122,722887,202602,6,10996700,241462,GA,1/22/2026,226.4,16.45,67.92
722887-202602-6-10996700-249905-20260122,722887,202602,6,10996700,249905,LA,1/22/2026,581.83,15.91,174.55
722887-202602-6-10996776-225682-20260122,722887,202602,6,10996776,225682,GA,1/22/2026,200.07,0,60.02
722887-202602-6-10996925-253775-20260121,722887,202602,6,10996925,253775,KY,1/21/2026,414.64,44.68,124.39
722887-202602-6-10997021-234311-20260121,722887,202602,6,10997021,234311,MS,1/21/2026,345.78,36.93,103.73
722887-202602-6-10997021-236475-20260122,722887,202602,6,10997021,236475,AL,1/22/2026,136.29,23.36,40.89
722887-202602-6-10997225-254618-20260122,722887,202602,6,10997225,254618,TX,1/22/2026,259.55,20.99,77.87
722887-202602-6-10997350-239485-20260121,722887,202602,6,10997350,239485,MS,1/21/2026,84.74,30,25.42
722887-202602-6-11148659-130515-20260119,722887,202602,6,11148659,130515,OH,1/19/2026,610,0,183
722887-202602-6-11148659-233547-20260122,722887,202602,6,11148659,233547,MS,1/22/2026,1030.61,0,309.18
722887-202602-6-11148659-240377-20260121,722887,202602,6,11148659,240377,DE,1/21/2026,82.86,68.7,24.86
